question_text,choice1,choice2,choice3,choice4,correct_answer,quiz_id
"რა არის π (პი) მნიშვნელობა, დამრგვალებული ორ ნიშნულამდე?","3.12","3.14","3.16","3.18",2,3
"რა არის 64-ის კვადრატული ფესვი?","6","7","8","9",3,3
"რა არის 15% 200-ისგან?","25","30","35","40",2,3
"რომელი რიცხვია 7-ის შემდეგი მარტივი რიცხვი?","9","10","11","13",3,3
"რა არის სამკუთხედის ფართობი, თუ მისი ფუძე 10 და სიმაღლე 5?","20","25","30","35",2,3
"რამდენია 7-ის გამრავლება 6-ზე?","40","42","44","46",2,3
"რამდენია 5-ის ფაქტორიალი (5!)?","100","110","120","130",3,3
"რამდენია სამკუთხედის კუთხეების ჯამი?","180 გრადუსი","360 გრადუსი","90 გრადუსი","270 გრადუსი",1,3
"რა არის x-ის მნიშვნელობა, თუ 2x + 3 = 11?","2","3","4","5",3,3
"რამდენია 9-ის გაყოფა 3-ზე?","2","3","4","5",2,3
"რამდენია მართკუთხედის პერიმეტრი, რომლის სიგრძე 8 და სიგანე 4 არის?","24","26","28","30",1,3
"რამდენია 1/4-ის ათობითი ეკვივალენტი?","0.5","0.25","0.75","1",2,3
"რა არის x^2 = 16-ის ამოხსნა?","2","-2","4","-4",3,3
"რამდენია 3-ის კუბი (3^3)?","6","9","27","81",3,3
"რა არის მართი სამკუთხედის ჰიპოტენუზა, თუ მისი ფეხები 3 და 4-ია?","5","6","7","8",1,3
"რა არის წრფის დახრილობა y = 2x + 3-ის მიხედვით?","1","2","3","4",2,3
"რა არის 9% 300-ისგან?","21","24","27","30",3,3
"რა არის გამოთვლის შედეგი 2^5-ისთვის?","16","32","64","128",2,3
"რა არის 24 და 36-ის უდიდესი საერთო გამყოფი (გსგ)?","6","8","12","18",3,3
"რა არის რიცხვების {3, 5, 7, 9, 11} მედიანი?","5","6","7","8",3,3
"რა არის გერმანიის დედაქალაქი?","ბერლინი","მადრიდი","პარიზი","რომი",1,1
"რომელია ყველაზე დიდი კონტინენტი?","აზია","აფრიკა","ევროპა","ჩრდილოეთ ამერიკა",1,1
"რომელია მსოფლიოში ყველაზე გრძელი მდინარე?","ნილი","ამაზონი","იანძი","მისისიპი",1,1
"რომელია ყველაზე პატარა ქვეყანა ტერიტორიით?","ვატიკანი","მონაკო","ნაურუ","სან მარინო",1,1
"რა არის კანადის დედაქალაქი?","ოტავა","ტორონტო","ვანკუვერი","მონრეალი",1,1
"რომელ ქვეყანაშია ყველაზე მეტი ბუნებრივი ტბა?","კანადა","ბრაზილია","რუსეთი","ინდოეთი",1,1
"რომელია მსოფლიოში ყველაზე მაღალი მთა?","კ2","კანჩენჯანგა","ევერესტი","ლჰოცე",3,1
"რომელია მსოფლიოში უდიდესი უდაბნო?","საჰარა","არაბეთი","გობი","კალაჰარი",1,1
"რომელი ქვეყანაა ცნობილი როგორც მზის ამოსვლის ქვეყანა?","იაპონია","ჩინეთი","სამხრეთ კორეა","ტაილანდი",1,1
"რომელია ყველაზე გრძელი მდინარე ევროპაში?","ვოლგა","დუნაი","ურალი","დნესტერი",1,1
"რა არის ავსტრალიის დედაქალაქი?","სიდნეი","მელბურნი","კანბერა","ბრიზბენი",3,1
"რომელი ოკეანე არის ყველაზე დიდი?","ატლანტის","ინდოეთის","არქტიკის","წყნარი",4,1
"რომელი კონტინენტი ცნობილია როგორც 'ბნელი კონტინენტი'?","აზია","აფრიკა","სამხრეთ ამერიკა","ევროპა",2,1
"რომელია მსოფლიოში ყველაზე გრძელი მთათა სისტემა?","როკი","ანდები","ჰიმალაია","ალპები",2,1
"რომელი ქვეყანაა ცნობილი როგორც შუაღამის მზის ქვეყანა?","ნორვეგია","შვედეთი","ფინეთი","დანია",1,1
"რა არის ბრაზილიის დედაქალაქი?","რიო დე ჟანეირო","სან პაულო","ბრაზილია","სალვადორი",3,1
"რომელია ყველაზე პატარა კონტინენტი მიწის ფართობით?","ევროპა","ავსტრალია","ანტარქტიდა","სამხრეთ ამერიკა",2,1
"რომელი მდინარე გაედინება პარიზში?","სენა","თამიზი","დუნაი","რაინი",1,1
"რომელ ქვეყანას აქვს ყველაზე დიდი მოსახლეობა?","ინდოეთი","ამერიკის შეერთებული შტატები","ინდონეზია","ჩინეთი",4,1
"რომელია ყველაზე დიდი კუნძული მსოფლიოში?","ბორნეო","გრენლანდია","ახალი გვინეა","მადაგასკარი",2,1
"What does HTML stand for?","Hyper Text Markup Language","Home Tool Markup Language","Hyperlinks and Text Markup Language","Hyper Tool Multi Language",1,2
"Which language is primarily used for web development?","Python","Java","JavaScript","C++",3,2
"Which company developed the Java programming language?","Apple","Google","Microsoft","Sun Microsystems",4,2
